Typ aktywności;Data;Dzień tygodnia;Tytuł;Dystans;Kalorie;Czas;Średnie tętno;Maksymalne tętno;Średnie tempo;Najlepsze tempo;Średnia długość kroku
Bieg na bieżni;2023-06-12;poniedziałek;Bieg na bieżni;1.87;423;00:30:00;150;158;16:05:00;14:46:00;0.56
Spacerowanie;2023-04-24;poniedziałek;Chodzenie;2.22;189;00:39:44;98;129;17:53:00;11:23:00;0.8
Bieg na bieżni;2023-04-03;poniedziałek;Bieg na bieżni;2.42;453;00:33:50;146;153;13:59:00;12:56:00;0.66
Bieganie;2021-10-11;poniedziałek;Bieganie;0;6;00:01:05;90;97;00:00:00;00:00:00;0
Bieganie;2023-07-25;wtorek;Krynica Morska Bieganie;4.84;447;00:30:33;165;187;06:19:00;05:07:00;1.06
Bieg na bieżni;2023-07-18;wtorek;Bieg na bieżni;1.19;293;00:21:35;145;152;18:07:00;15:16:00;0.55
Bieg na bieżni;2023-07-11;wtorek;Bieg na bieżni;1.4;366;00:27:39;144;151;19:49:00;15:01:00;0.54
Bieg na bieżni;2023-07-04;wtorek;Bieg na bieżni;2.21;611;00:41:31;154;163;18:45:00;15:24:00;0.52
Bieg na bieżni;2023-06-06;wtorek;Bieg na bieżni;1.21;267;00:20:07;143;153;16:34:00;14:39:00;0.56
Bieg na bieżni;2023-05-30;wtorek;Bieg na bieżni;1.17;271;00:20:07;146;151;17:09:00;16:05:00;0.53
Bieg na bieżni;2023-05-16;wtorek;Bieg na bieżni;1.44;279;00:21:17;144;153;14:50:00;13:20:00;0.63
Bieg na bieżni;2023-05-09;wtorek;Bieg na bieżni;2;390;00:30:36;145;152;15:18:00;13:32:00;0.62
Bieg na bieżni;2023-04-25;wtorek;Bieg na bieżni;1.82;347;00:26:13;147;154;14:24:00;13:26:00;0.64
Spacerowanie;2023-04-25;wtorek;Chodzenie;2.86;222;00:41:37;98;141;14:33:00;13:08:00;0.66
Bieg na bieżni;2023-04-18;wtorek;Bieg na bieżni;2.52;388;00:30:21;145;152;12:03:00;10:31:00;0.8
